编号,类型,年份,标题,期刊/出版社,作者,DOI,PMID,原始条目
11,期刊,2025,Modulation of Macrophage Polarization by Traditional Chinese Medicine in HFpEF: A Review of Mechanisms and Therapeutic Potentials,Pharmaceuticals,"Li Y, Qu Y, Yu Z, et al",10.3390/ph18091317,,"Li Y, Qu Y, Yu Z, et al. Modulation of Macrophage Polarization by Traditional Chinese Medicine in HFpEF: A Review of Mechanisms and Therapeutic Potentials. *Pharmaceuticals*, 2025, 18(9): 1317. DOI: 10.3390/ph18091317"
12,期刊,2022,A potential therapeutic target in traditional Chinese medicine for ulcerative colitis: Macrophage polarization,Front Pharmacol,"Li Y, Qu Y, et al",10.3389/fphar.2022.999179,,"Li Y, Qu Y, et al. A potential therapeutic target in traditional Chinese medicine for ulcerative colitis: Macrophage polarization. *Front Pharmacol*, 2022, 13: 999179. DOI: 10.3389/fphar.2022.999179"
13,期刊,2022,"*中国实验方剂学杂志*, 2022, 28(4): 218-226.",中国实验方剂学杂志,巨噬细胞极化与中药抗肿瘤机制研究进展,,,"巨噬细胞极化与中药抗肿瘤机制研究进展. *中国实验方剂学杂志*, 2022, 28(4): 218-226."
14,期刊,2024,"*Chem Eng J*, 2024, 488: 150780.",Chem Eng J,Programming of macrophage polarization in different stages for accelerating wound healing,10.1016/j.cej.2024.150780,,"Programming of macrophage polarization in different stages for accelerating wound healing. *Chem Eng J*, 2024, 488: 150780. DOI: 10.1016/j.cej.2024.150780"
15,图书,2012,中医筋伤学,65-67,"詹红生, 马勇",,,"詹红生, 马勇. 中医筋伤学[M]. 上海: 上海科学技术出版社, 2012: **65-67**.（全国普通高等教育中医药类精编教材；""十一五""国家级规划教材. ISBN 978-7-5478-1349-2）"
16,图书,1973,医宗金鉴: 第5分册 正骨心法要旨,55,"〔清〕吴谦, 等",,,"〔清〕吴谦, 等. 医宗金鉴: 第5分册 正骨心法要旨[M]. 北京: 人民卫生出版社, 1973: **55**.（卷九十·内治杂证法·方法总论）"
17,期刊,2025,Immune cells: the key mediator between the gut microbiota and osteoporosis,Front Immunol,"Ma T, Zhang T, Peng C, et al",10.3389/fimmu.2025.1680021,,"Ma T, Zhang T, Peng C, et al. Immune cells: the key mediator between the gut microbiota and osteoporosis. *Front Immunol*, 2025, 16: 1680021. DOI: 10.3389/fimmu.2025.1680021"
18,期刊,2010,Alternative activation of macrophages: mechanism and functions,Immunity,"Gordon S, Martinez FO",10.1016/j.immuni.2010.05.007,,"Gordon S, Martinez FO. Alternative activation of macrophages: mechanism and functions. *Immunity*, 2010, 32(5): 593-604. DOI: 10.1016/j.immuni.2010.05.007"
19,期刊,2014,Transcriptome-based network analysis reveals a spectrum model of human macrophage activation,Immunity,"Xue J, Schmidt SV, Sander J, et al",10.1016/j.immuni.2014.01.006,24530056,"Xue J, Schmidt SV, Sander J, et al. Transcriptome-based network analysis reveals a spectrum model of human macrophage activation[J]. *Immunity*, 2014, 40(2): 274-288. DOI: 10.1016/j.immuni.2014.01.006. PMID: 24530056."
20,期刊,2025,Temporal single-cell sequencing analysis reveals that GPNMB-expressing macrophages potentiate muscle regeneration,Exp Mol Med,"Chen YF, Lee CW, Li YJ, Lin WT, Chen HY, Chen YC, Lin CH, Ho JH, Lu LF, Chien S, Lee OK",10.1038/s12276-025-01467-4,38585871,"Chen YF, Lee CW, Li YJ, Lin WT, Chen HY, Chen YC, Lin CH, Ho JH, Lu LF, Chien S, Lee OK. Temporal single-cell sequencing analysis reveals that GPNMB-expressing macrophages potentiate muscle regeneration. *Exp Mol Med*, 2025, 57(6): 1232-1245. DOI: 10.1038/s12276-025-01467-4. PMID: 38585871."
21,期刊,2010,The phenotype of murine wound macrophages,J Leukoc Biol,"Daley JM, Brancato SK, Thomay AA, et al",10.1189/jlb.0409236,20052800,"Daley JM, Brancato SK, Thomay AA, et al. The phenotype of murine wound macrophages[J]. *J Leukoc Biol*, 2010, 87(1): 59-67. DOI: 10.1189/jlb.0409236. PMID: 20052800."
22,期刊,2014,Pro-resolving lipid mediators are leads for resolution physiology,Nature,Serhan CN,10.1038/nature13479,,"Serhan CN. Pro-resolving lipid mediators are leads for resolution physiology. *Nature*, 2014, 510(7503): 92-101. DOI: 10.1038/nature13479"
23,期刊,2005,Resolution of inflammation: the beginning programs the end,Nat Immunol,"Serhan CN, Savill J",10.1038/ni1276,16369558,"Serhan CN, Savill J. Resolution of inflammation: the beginning programs the end[J]. *Nat Immunol*, 2005, 6(12): 1191-1197. DOI: 10.1038/ni1276. PMID: 16369558."
24,期刊,2020,Efferocytosis in health and disease,Nat Rev Immunol,"Doran AC, Yurdagul A Jr, Tabas I",10.1038/s41577-019-0240-6,31822793,"Doran AC, Yurdagul A Jr, Tabas I. Efferocytosis in health and disease[J]. *Nat Rev Immunol*, 2020, 20(4): 254-267. DOI: 10.1038/s41577-019-0240-6. PMID: 31822793."
25,期刊,2025,Macrophage efferocytosis promotes inflammation resolution and accelerates wound healing,Commun Biol,"Wang Y, et al",,,"Wang Y, et al. Macrophage efferocytosis promotes inflammation resolution and accelerates wound healing. *Commun Biol*, 2025. (Nature Communications Biology)"
26,期刊,2007,Inflammatory monocytes recruited after skeletal muscle injury switch into antiinflammatory macrophages to support myogenesis,J Exp Med,"Arnold L, Henry A, Poron F, Baba-Amer Y, van Rooijen N, Plonquet A, Gherardi RK, Chazaud B",,17485518,"Arnold L, Henry A, Poron F, Baba-Amer Y, van Rooijen N, Plonquet A, Gherardi RK, Chazaud B. Inflammatory monocytes recruited after skeletal muscle injury switch into antiinflammatory macrophages to support myogenesis. *J Exp Med*, 2007, 204(5): 1057-1069. PMID: 17485518."
27,期刊,2019,Dynamic changes to lipid mediators support transitions among macrophage subtypes during muscle regeneration,Nat Immunol,"Giannakis N, Sansbury BE, Patsalos A, Hays TT, Riley CO, Han X, Spite M, Nagy L",10.1038/s41590-019-0356-7,,"Giannakis N, Sansbury BE, Patsalos A, Hays TT, Riley CO, Han X, Spite M, Nagy L. Dynamic changes to lipid mediators support transitions among macrophage subtypes during muscle regeneration. *Nat Immunol*, 2019, 20(5): 626-636. DOI: 10.1038/s41590-019-0356-7."
28,期刊,2018,Chronic inflammation is a feature of Achilles tendinopathy and rupture,Br J Sports Med,"Dakin SG, Newton J, Martinez FO, et al",10.1136/bjsports-2017-098161,29118051,"Dakin SG, Newton J, Martinez FO, et al. Chronic inflammation is a feature of Achilles tendinopathy and rupture[J]. *Br J Sports Med*, 2018, 52(6): 359-367. DOI: 10.1136/bjsports-2017-098161. PMID: 29118051."
29,期刊,2014,Macrophages: supportive cells for tissue repair and regeneration,Immunobiology,Chazaud B,10.1016/j.imbio.2013.09.001,24080029,"Chazaud B. Macrophages: supportive cells for tissue repair and regeneration[J]. *Immunobiology*, 2014, 219(3): 172-178. DOI: 10.1016/j.imbio.2013.09.001. PMID: 24080029."
30,期刊,2025,"*中国针灸*, 2025.",中国针灸,电针诱导巨噬细胞极化促进急性骨骼肌损伤修复的机制研究,10.13703/j.0255-2930.20241126-k0005,40518784,"电针诱导巨噬细胞极化促进急性骨骼肌损伤修复的机制研究. *中国针灸*, 2025. DOI: 10.13703/j.0255-2930.20241126-k0005. PMID: 40518784."
31,期刊,2025,"Efficacy of electro-acupuncture at ""Weizhong"" (BL40) on macrophage polarization in rats with injured lumbar multifidus.",,,,40151120,"Efficacy of electro-acupuncture at ""Weizhong"" (BL40) on macrophage polarization in rats with injured lumbar multifidus. PMID: 40151120, 2025."
32,期刊,2013,Differentially activated macrophages orchestrate myogenic precursor cell fate during human skeletal muscle regeneration,Stem Cells,"Saclier M, Yacoub-Youssef H, Mackey AL, et al",,,"Saclier M, Yacoub-Youssef H, Mackey AL, et al. Differentially activated macrophages orchestrate myogenic precursor cell fate during human skeletal muscle regeneration. *Stem Cells*, 2013, 31(2): 384-396."
33,期刊,2018,Mapping macrophage polarization over the myocardial infarction time continuum,Basic Res Cardiol,"Mouton AJ, DeLeon-Pennell KY, Rivera Gonzalez OJ, et al",10.1007/s00395-018-0686-x,29868933,"Mouton AJ, DeLeon-Pennell KY, Rivera Gonzalez OJ, et al. Mapping macrophage polarization over the myocardial infarction time continuum[J]. *Basic Res Cardiol*, 2018, 113(4): 26. DOI: 10.1007/s00395-018-0686-x. PMID: 29868933."
34,期刊,2025,Spatiotemporal dynamics of the cardioimmune niche during lesion repair,Nat Cardiovasc Res,"Chan ASF, Greiner J, Marschhäuser L, Brennan TA, Perez-Feliz S, Agrawal A, Hemmer H, et al",10.1038/s44161-025-00739-6,,"Chan ASF, Greiner J, Marschhäuser L, Brennan TA, Perez-Feliz S, Agrawal A, Hemmer H, et al. Spatiotemporal dynamics of the cardioimmune niche during lesion repair. *Nat Cardiovasc Res*, 2025, 4: 1550-1572. DOI: 10.1038/s44161-025-00739-6"
35,期刊,2018,Macrophages and lipid metabolism,Cell Immunol,"Remmerie A, Scott CL",10.1016/j.cellimm.2018.01.020,29429624,"Remmerie A, Scott CL. Macrophages and lipid metabolism[J]. *Cell Immunol*, 2018, 330: 27-42. DOI: 10.1016/j.cellimm.2018.01.020. PMID: 29429624."
36,期刊,2025,Metabolic Reprogramming Intermediates of Glucose Regulate Macrophage Polarization: An Important Direction for Ameliorating Pulmonary Vascular Remodeling,J Pharmacol Exp Ther,"Tian J, et al",,,"Tian J, et al. Metabolic Reprogramming Intermediates of Glucose Regulate Macrophage Polarization: An Important Direction for Ameliorating Pulmonary Vascular Remodeling. *J Pharmacol Exp Ther*, 2025, 392(4): 100045. PMC12636856."
37,期刊,2016,A guide to immunometabolism for immunologists,Nat Rev Immunol,"O'Neill LA, Kishton RJ, Rathmell J",10.1038/nri.2016.70,27396447,"O'Neill LA, Kishton RJ, Rathmell J. A guide to immunometabolism for immunologists[J]. *Nat Rev Immunol*, 2016, 16(9): 553-565. DOI: 10.1038/nri.2016.70. PMID: 27396447."
38,期刊,2016,Fatty acid oxidation in macrophage polarization,Nat Immunol,"Nomura M, Liu J, Rovira II, et al",10.1038/ni.3366,26882249,"Nomura M, Liu J, Rovira II, et al. Fatty acid oxidation in macrophage polarization[J]. *Nat Immunol*, 2016, 17(3): 216-217. DOI: 10.1038/ni.3366. PMID: 26882249."
39,期刊,2025,"*中国组织工程研究*, 2025, 29(18): 3906-3917.",中国组织工程研究,腺苷酸活化蛋白激酶介导巨噬细胞脂肪酸氧化：中医药调控巨噬细胞极化研究,10.12307/2025.429,,"腺苷酸活化蛋白激酶介导巨噬细胞脂肪酸氧化：中医药调控巨噬细胞极化研究. *中国组织工程研究*, 2025, 29(18): 3906-3917. DOI: 10.12307/2025.429"
40,期刊,2013,Metabolism of inflammation limited by AMPK and pseudo-starvation,Nature,"O'Neill LA, Hardie DG",10.1038/nature11862,23325217,"O'Neill LA, Hardie DG. Metabolism of inflammation limited by AMPK and pseudo-starvation[J]. *Nature*, 2013, 493(7432): 346-355. DOI: 10.1038/nature11862. PMID: 23325217."
41,期刊,2005,Regulation of immune responses by L-arginine metabolism,Nat Rev Immunol,"Bronte V, Zanovello P",10.1038/nri1668,16056256,"Bronte V, Zanovello P. Regulation of immune responses by L-arginine metabolism[J]. *Nat Rev Immunol*, 2005, 5(8): 641-654. DOI: 10.1038/nri1668. PMID: 16056256."
42,期刊,2017,α-ketoglutarate orchestrates macrophage activation through metabolic and epigenetic reprogramming,Nat Immunol,"Liu PS, Wang H, Li X, et al",10.1038/ni.3796,28714978,"Liu PS, Wang H, Li X, et al. α-ketoglutarate orchestrates macrophage activation through metabolic and epigenetic reprogramming[J]. *Nat Immunol*, 2017, 18(9): 985-994. DOI: 10.1038/ni.3796. PMID: 28714978."
43,期刊,2025,"Gang of 3: how the Krebs cycle-linked metabolites itaconate, succinate, and fumarate regulate macrophages and inflammation",Cell Metab,"Pålsson-McDermott EM, O'Neill LAJ",10.1016/j.cmet.2025.03.004,40169002,"Pålsson-McDermott EM, O'Neill LAJ. Gang of 3: how the Krebs cycle-linked metabolites itaconate, succinate, and fumarate regulate macrophages and inflammation[J]. *Cell Metab*, 2025, 37(5): 1049-1059. DOI: 10.1016/j.cmet.2025.03.004. PMID: 40169002."
44,期刊,2026,Microbiota-associated metabolite pantothenic acid enhances skeletal muscle contusion repair via epigenetic regulation of macrophage M2 polarization,J Transl Med,"Wu L, Zhang Y, Zhang G, et al",10.1186/s12967-026-08087-0,41947174,"Wu L, Zhang Y, Zhang G, et al. Microbiota-associated metabolite pantothenic acid enhances skeletal muscle contusion repair via epigenetic regulation of macrophage M2 polarization. *J Transl Med*, 2026, 24: 652. PMID: 41947174. DOI: 10.1186/s12967-026-08087-0"
45,期刊,2025,Moxibustion Alleviates Inflammation via SIRT5-mediated Post-translational Modification and Macrophage Polarization,Inflammation,"Wang Y, Chen L, Li H, et al",10.1007/s10753-025-02239-y,,"Wang Y, Chen L, Li H, et al. Moxibustion Alleviates Inflammation via SIRT5-mediated Post-translational Modification and Macrophage Polarization. *Inflammation*, 2025, 48: 489-506. DOI: 10.1007/s10753-025-02239-y"
46,期刊,2013,AMPKα1 regulates macrophage skewing at the time of resolution of inflammation during skeletal muscle regeneration,Cell Metab,"Mounier R, Théret M, Arnold L, Cuvellier S, Bultot L, Göransson O, Sanz N, Ferry A, Sakamoto K, Foretz M, Viollet B, Chazaud B",10.1016/j.cmet.2013.06.017,23931756,"Mounier R, Théret M, Arnold L, Cuvellier S, Bultot L, Göransson O, Sanz N, Ferry A, Sakamoto K, Foretz M, Viollet B, Chazaud B. AMPKα1 regulates macrophage skewing at the time of resolution of inflammation during skeletal muscle regeneration. *Cell Metab*, 2013, 18(2): 251-264. DOI: 10.1016/j.cmet.2013.06.017. PMID: 23931756."
47,期刊,2017,Metabolic regulation of macrophages during tissue repair: insights from skeletal muscle regeneration,FEBS Lett,"Juban G, Chazaud B",10.1002/1873-3468.12703,,"Juban G, Chazaud B. Metabolic regulation of macrophages during tissue repair: insights from skeletal muscle regeneration. *FEBS Lett*, 2017, 591(19): 3007-3021. DOI: 10.1002/1873-3468.12703."
48,期刊,2011,p38/MKP-1-regulated AKT coordinates macrophage transitions and resolution of inflammation during tissue repair,J Cell Biol,"Perdiguero E, Sousa-Victor P, Ruiz-Bonilla V, Jardí M, Caelles C, Serrano AL, Muñoz-Cánoves P",,,"Perdiguero E, Sousa-Victor P, Ruiz-Bonilla V, Jardí M, Caelles C, Serrano AL, Muñoz-Cánoves P. p38/MKP-1-regulated AKT coordinates macrophage transitions and resolution of inflammation during tissue repair. *J Cell Biol*, 2011, 195(2): 307-322."
49,期刊,2012,CaMKKβ is involved in AMP-activated protein kinase activation by baicalin in LKB1 deficient cell lines,PLoS One,"Ma Y, Yang F, Wang Y, et al",10.1371/journal.pone.0047900,23110126,"Ma Y, Yang F, Wang Y, et al. CaMKKβ is involved in AMP-activated protein kinase activation by baicalin in LKB1 deficient cell lines[J]. *PLoS One*, 2012, 7(10): e47900. DOI: 10.1371/journal.pone.0047900. PMID: 23110126."
50,期刊,2025,"*Int J Mol Sci*, 2025, 26(16): 8098.",Int J Mol Sci,Heterogeneous Macrophage Activation in Acute Skeletal Muscle Sterile Injury and mdx^5cv Model of Muscular Dystrophy,10.3390/ijms26168098,,"Heterogeneous Macrophage Activation in Acute Skeletal Muscle Sterile Injury and mdx^5cv Model of Muscular Dystrophy. *Int J Mol Sci*, 2025, 26(16): 8098. DOI: 10.3390/ijms26168098"
51,期刊,2020,"Inflammation and Skeletal Muscle Regeneration: Leave It to the Macrophages! *Trends Immunol*, 2020, 41(6): 481-492.",Trends Immunol,Chazaud B,,,"Chazaud B. Inflammation and Skeletal Muscle Regeneration: Leave It to the Macrophages! *Trends Immunol*, 2020, 41(6): 481-492."
52,期刊,2004,The COX-2 pathway is essential during early stages of skeletal muscle regeneration,Am J Physiol Cell Physiol,"Bondesen BA, Mills ST, Kegley KM, Pavlath GK",,,"Bondesen BA, Mills ST, Kegley KM, Pavlath GK. The COX-2 pathway is essential during early stages of skeletal muscle regeneration. *Am J Physiol Cell Physiol*, 2004, 287(2): C475-C483."
53,期刊,2005,"NS-398, a cyclooxygenase-2-specific inhibitor, delays skeletal muscle healing by decreasing regeneration and promoting fibrosis",Am J Pathol,"Shen W, Li Y, Tang Y, Cummins J, Huard J",,,"Shen W, Li Y, Tang Y, Cummins J, Huard J. NS-398, a cyclooxygenase-2-specific inhibitor, delays skeletal muscle healing by decreasing regeneration and promoting fibrosis. *Am J Pathol*, 2005, 167(4): 1105-1117."
54,期刊,2023,Icing after skeletal muscle injury decreases M1 macrophage accumulation and TNF-α expression during the early phase of muscle regeneration in rats,Histochem Cell Biol,"Miyazaki A, Kawashima M, Nagata I, et al",10.1007/s00418-022-02143-8,36114866,"Miyazaki A, Kawashima M, Nagata I, et al. Icing after skeletal muscle injury decreases M1 macrophage accumulation and TNF-α expression during the early phase of muscle regeneration in rats[J]. *Histochem Cell Biol*, 2023, 159(1): 77-89. DOI: 10.1007/s00418-022-02143-8. PMID: 36114866."
55,期刊,2022,Role of macrophages during skeletal muscle regeneration and hypertrophy—Implications for immunomodulatory strategies,Physiol Rep,"Bernard C, Zavoriti A, Pucelle Q, Chazaud B, Gondin J",10.14814/phy2.15480,,"Bernard C, Zavoriti A, Pucelle Q, Chazaud B, Gondin J. Role of macrophages during skeletal muscle regeneration and hypertrophy—Implications for immunomodulatory strategies. *Physiol Rep*, 2022, 10: e15480. DOI: 10.14814/phy2.15480."
56,期刊,2025,Macrophage polarization in disease therapy: insights from astragaloside IV and cycloastragenol,Front Pharmacol,"Xiong BB, Zhuo YM, Wang H, et al",10.3389/fphar.2025.1598022,40487409,"Xiong BB, Zhuo YM, Wang H, et al. Macrophage polarization in disease therapy: insights from astragaloside IV and cycloastragenol[J]. *Front Pharmacol*, 2025, 16: 1598022. DOI: 10.3389/fphar.2025.1598022. PMID: 40487409."
57,期刊,2019,Astragaloside IV suppresses high glucose-induced NLRP3 inflammasome activation by inhibiting TLR4/NF-κB and CaSR,Mediators Inflamm,"Leng B, Zhang Y, Liu X, et al",,,"Leng B, Zhang Y, Liu X, et al. Astragaloside IV suppresses high glucose-induced NLRP3 inflammasome activation by inhibiting TLR4/NF-κB and CaSR[J]. *Mediators Inflamm*, 2019, 2019: 1082497."
58,期刊,2026,Notoginsenoside R1 Alleviates Macrophage Inflammatory Responses via Modulating the JAK1/STAT3 Pathway,J Cell Biochem,"Wu C, Hou S, Liu M, Feng H, Jiang X, Ji N, Fang F",10.1002/jcb.70112,42522926,"Wu C, Hou S, Liu M, Feng H, Jiang X, Ji N, Fang F. Notoginsenoside R1 Alleviates Macrophage Inflammatory Responses via Modulating the JAK1/STAT3 Pathway. *J Cell Biochem*, 2026, 127(8): e70112. DOI: 10.1002/jcb.70112. PMID: 42522926."
59,期刊,2025,Natural saponins and macrophage polarization: Mechanistic insights and therapeutic perspectives in disease management,PMC,"Li Y, et al",,,"Li Y, et al. Natural saponins and macrophage polarization: Mechanistic insights and therapeutic perspectives in disease management. *PMC*, 2025. PMC12098594."
60,期刊,2023,Berberine ameliorates collagen-induced arthritis in mice by restoring macrophage polarization via AMPK/mTORC1 pathway switching glycolytic reprogramming,Int Immunopharmacol,"Cheng JW, Yu Y, Zong SY, Cai WW, Wang Y, Song YN, Xian H, Wei F",10.1016/j.intimp.2023.111024,37827054,"Cheng JW, Yu Y, Zong SY, Cai WW, Wang Y, Song YN, Xian H, Wei F. Berberine ameliorates collagen-induced arthritis in mice by restoring macrophage polarization via AMPK/mTORC1 pathway switching glycolytic reprogramming. *Int Immunopharmacol*, 2023, 124(Pt B): 111024. DOI: 10.1016/j.intimp.2023.111024. PMID: 37827054."
61,期刊,2009,Berberine suppresses proinflammatory responses through AMPK activation in macrophages,Am J Physiol Endocrinol Metab,"Jeong HW, Hsu KC, Lee JW, Ham JK, Huh JY, Shin HJ, Kim WS, Kim JB",10.1152/ajpendo.90599.2008,,"Jeong HW, Hsu KC, Lee JW, Ham JK, Huh JY, Shin HJ, Kim WS, Kim JB. Berberine suppresses proinflammatory responses through AMPK activation in macrophages. *Am J Physiol Endocrinol Metab*, 2009, 296(4): E955-E964. DOI: 10.1152/ajpendo.90599.2008"
62,期刊,2024,Zhen-Wu-Tang Protects against Myocardial Fibrosis by Inhibiting M1 Macrophage Polarization via the TLR4/NF-κB Pathway,Phytomedicine,"Fang R, Zhou R, Ju D, Li M, Wang H, Pan L, Wang X, Han M, Yu Y",10.1016/j.phymed.2024.155719,,"Fang R, Zhou R, Ju D, Li M, Wang H, Pan L, Wang X, Han M, Yu Y. Zhen-Wu-Tang Protects against Myocardial Fibrosis by Inhibiting M1 Macrophage Polarization via the TLR4/NF-κB Pathway. *Phytomedicine*, 2024, 130: 155719. DOI: 10.1016/j.phymed.2024.155719"
63,期刊,2025,"*ACS Pharmacol Transl Sci*, 2025.",ACS Pharmacol Transl Sci,Ferulic Acid Attenuated Interleukin-17A-Induced Lung Inflammation by Modulating Interleukin-17 Signaling and Tissue Remodeling in a Mouse Model,10.1021/acsptsci.5c00490,,"Ferulic Acid Attenuated Interleukin-17A-Induced Lung Inflammation by Modulating Interleukin-17 Signaling and Tissue Remodeling in a Mouse Model. *ACS Pharmacol Transl Sci*, 2025. DOI: 10.1021/acsptsci.5c00490"
64,图书,2021,中医骨伤科学,"48-50, 245","黄桂成, 王拥军",,,"黄桂成, 王拥军. 中医骨伤科学[M]. 北京: 中国中医药出版社, 2021: **48-50, 245**.（全国中医药行业高等教育""十四五""规划教材；全国高等中医药院校规划教材第十一版；新世纪第五版. ISBN 978-7-5132-6802-8）"
65,期刊,2025,"*中国药房*, 2025, 36(8).",中国药房,中药有效成分及复方通过PI3K/Akt信号通路促进慢性创面愈合综述,,,"中药有效成分及复方通过PI3K/Akt信号通路促进慢性创面愈合综述. *中国药房*, 2025, 36(8)."
66,期刊,2015,外用中药治疗皮肤创伤的研究进展,中国现代应用药学,"李龙剑, 张艳, 彭丽华, 等",10.13748/j.cnki.issn1007-7693.2015.10.029,,"李龙剑, 张艳, 彭丽华, 等. 外用中药治疗皮肤创伤的研究进展[J]. 中国现代应用药学, 2015, 32(10): 1285-1288. DOI: 10.13748/j.cnki.issn1007-7693.2015.10.029."
67,期刊,2024,桃红四物汤对放射性肠炎小鼠肠道微生物多样性的影响,中国微生态学杂志,"刘天浩, 盛颖玥, 张行, 等",10.13381/j.cnki.cjm.202404002,,"刘天浩, 盛颖玥, 张行, 等. 桃红四物汤对放射性肠炎小鼠肠道微生物多样性的影响[J]. *中国微生态学杂志*, 2024, 36(4): 379-389. DOI: 10.13381/j.cnki.cjm.202404002."
68,期刊,2024,血府逐瘀胶囊对动脉粥样硬化小鼠巨噬细胞极化的影响,中国实验方剂学杂志,"刘梦华, 程序, 赵梦竹, 等",10.13422/j.cnki.syfjx.20240714,,"刘梦华, 程序, 赵梦竹, 等. 血府逐瘀胶囊对动脉粥样硬化小鼠巨噬细胞极化的影响[J]. *中国实验方剂学杂志*, 2024, 30(12): 54-61. DOI: 10.13422/j.cnki.syfjx.20240714."
69,期刊,2025,Quercetin alleviates diabetic nephropathy by inhibiting M1 macrophage polarization via targeting NLRC5/NLRP3 pathway,Cell Immunol,"Abudoureyimu A, Chen C, Hu Y, et al",10.1016/j.cellimm.2025.104997,40570646,"Abudoureyimu A, Chen C, Hu Y, et al. Quercetin alleviates diabetic nephropathy by inhibiting M1 macrophage polarization via targeting NLRC5/NLRP3 pathway[J]. *Cell Immunol*, 2025, 414: 104997. DOI: 10.1016/j.cellimm.2025.104997. PMID: 40570646."
