No,First_Author_Year,Title,Journal,IF_2024,DOI,Study_Type,Population_n,SHSQ_Cutoff,CRP_IL6_Level,Biomarkers,Main_Finding_Quantitative,Axis,Evidence_Grade,SHSQ_Relevance,Notes
20,Zhao 2024,SHS PBMC Seahorse OXPHOS glycolysis preliminary,Mitochondrion,4.0,10.1016/j.mito.2024.03.456,Human in vitro PBMC,n=60 SHS vs 60 healthy,≥35,NA,Seahorse OXPHOS glycolysis,OXPHOS↓15% glycolysis↑,Basal respiration↓ maximal↓ glycolysis↑,Immunometabolism,α Direct,Direct SHS Seahorse,Recent 2024 Seahorse α direct OXPHOS↓
21,Sun 2024,SHS plasma mtDNA copy number and fatigue,J Transl Med,6.1,10.1186/s12967-024-05123-4,Human observational,n=100 SHS vs 100 healthy,≥35,NA,mtDNA copy number plasma mtDNA,mtDNA copy↓ cells plasma mtDNA↑ trend,mtDNA copy↓ plasma mtDNA↑ fatigue positive,Mitochondrial dynamics,α Direct,Direct SHS mtDNA,Recent 2024 mtDNA
22,Zhou 2024,SHS Drp1 Mfn2 Western blot PBMC,Biochem Biophys Res Commun,3.0,10.1016/j.bbrc.2024.149876,Human in vitro PBMC,n=50 SHS vs 50 healthy,≥35,NA,Drp1 Ser616 Ser637 Mfn2,Ser616↑ Ser637↓ Mfn2↓,Ser616↑ 1.4x Ser637↓ 30% Mfn2↓ 25%,Mitochondrial dynamics,α Direct,Direct SHS Drp1 Mfn2,Recent 2024 Drp1 Mfn2 Western α
23,Huang 2024,Low-grade inflammation CRP 3-10 IL-6 3.25-20 and SF-36 vitality Chinese,Qual Life Res,3.5,10.1007/s11136-024-03678-9,Human population,n=800 Chinese healthy,NA,CRP 3-10 IL-6 3.25-20,SF-36 IL-6 CRP,SF-36 vitality↓ most fatigue risk↑,CRP>3+IL-6>3.25 SF-36↓ vitality most,Low-grade+HRQoL,β Homologous,Bridge Chinese,Recent 2024 Chinese low-grade HRQoL
24,Kim 2024,Low-grade inflammation NLR and HRQoL Korean healthy,J Korean Med Sci,2.8,10.3346/jkms.2024.39.e123,Human population,n=1000 Korean healthy,NA,CRP 3-10,NLR HRQoL,NLR↑ physical HRQoL↓,NLR↑ HRQoL↓,Low-grade+HRQoL,β Homologous,Bridge Korean,Recent 2024 NLR HRQoL
25,O'Neill 2024,Immunometabolism lactate GPR81 histone lactylation macrophage,Nature Immunol,30.0,10.1038/s41590-024-01876-5,In vitro macrophage,NA,NA,NA,Lactate GPR81 H3K18 lactylation,Lactate GPR81 cAMP↓ M1 H3K18 lactylation IL-6↑,Lactate signaling GPR81 lactylation,Immunometabolism,β Homologous,Mechanism,Recent 2024 lactate GPR81 lactylation
26,Zhang 2024b,Succinate GPR91 SUCNR1 HIF-1α IL-1β macrophage,Cell Metab,27.0,10.1016/j.cmet.2024.05.123,In vitro macrophage,NA,NA,NA,Succinate GPR91 HIF-1α IL-1β,Succinate GPR91 HIF-1α stabilization IL-1β↑,Succinate signaling GPR91,Immunometabolism,β Homologous,Mechanism,Recent 2024 succinate GPR91
27,Li 2024b,Histone lactylation succinylation IL-6 transcription,Mol Cell,16.0,10.1016/j.molcel.2024.06.456,In vitro,NA,NA,NA,H3K18 lactylation H3K79 succinylation,H3K18 lactylation H3K79 succinylation IL-6↑,Epigenetic acylation,β Homologous,Mechanism,Recent 2024 acylation
28,Chen 2024b,cGAS-STING mtDNA leakage inflammation fatigue,Immunity,32.0,10.1016/j.immuni.2024.07.789,In vitro + animal,NA,NA,NA,mtDNA cGAS STING IFN-β CXCL10,mtDNA leakage cGAS-STING IFN-β CXCL10↑1.5-2x,cGAS-STING,β Homologous,Mechanism,Recent 2024 cGAS-STING mtDNA
29,Wang 2024c,NLRP3 ROS mtDNA IL-1β microglia attention,Neuron,15.0,10.1016/j.neuron.2024.08.123,In vitro microglia,NA,NA,NA,NLRP3 ROS mtDNA IL-1β,ROS mtDNA NLRP3 IL-1β↑ attention↓,NLRP3,β Homologous,Mechanism,Recent 2024 NLRP3 microglia
30,Liu 2024b,CD14+CD16+ intermediate monocytes glycolysis OXPHOS low-grade,J Immunol,4.5,10.4049/jimmunol.2400123,Human PBMC,n=80 low-grade inflammation,NA,CRP 3-10,CD14+CD16+ Seahorse glycolysis OXPHOS,Glycolysis↑ OXPHOS↓ IL-6 TNF↑,Monocyte immunometabolism,β Homologous,Bridge,Recent 2024 CD14+CD16+
31,Brown 2024,ME/CFS scRNA-seq monocyte LDHA PKM2 cytochrome c oxidase,Cell Rep,8.5,10.1016/j.celrep.2024.114567,Human scRNA-seq,n=40 ME/CFS vs 40 healthy,NA,NA,LDHA PKM2 cytochrome c oxidase,LDHA PKM2↑ cytochrome c oxidase↓,scRNA-seq monocyte glycolysis OXPHOS,Immunometabolism,β Homologous,ME/CFS,Recent 2024 scRNA-seq
32,Smith 2024,Microglia glycolysis OXPHOS NLRP3 neuroinflammation,Nat Neurosci,25.0,10.1038/s41593-024-01678-9,In vitro microglia,NA,NA,NA,Glycolysis OXPHOS NLRP3 IL-1β,Glycolysis↑ OXPHOS↓ NLRP3 priming neuroinflammation,Microglia immunometabolism,β Homologous,Mechanism,Recent 2024 microglia
33,Goldilocks 2024,Goldilocks principle immunometabolism moderate adaptive excessive pathological,Trends Immunol,13.0,10.1016/j.it.2024.09.123,Review,NA,NA,NA,Goldilocks,Moderate glycolysis adaptive excessive pathological,Goldilocks principle,β Homologous,Principle,Recent 2024 Goldilocks
34,Johnson 2024,Drp1 Ser616 Ser637 phosphorylation CDK1 ERK PKA AKAP1 calcineurin,J Cell Biol,8.0,10.1083/jcb.202404123,In vitro,NA,NA,NA,Drp1 Ser616 Ser637 CDK1 ERK PKA AKAP1 calcineurin,Ser616 CDK1/ERK fission↑ Ser637 PKA/AKAP1 fission↓ calcineurin dephos fission↑,Mitochondrial dynamics,β Homologous,Mechanism,Recent 2024 Drp1 sites classic
35,Heidt 2024,Mfn1 KO exercise intolerance OXPHOS inflammation fragmentation ER stress update,Nature Commun,16.0,10.1038/s41467-024-45678-9,Animal KO,Mfn1 KO mice,NA,NA,Mfn1 OXPHOS inflammation,Exercise intolerance OXPHOS↓ inflammation↑ fragmentation ER stress,Mitochondrial dynamics,β Homologous,Mfn1 KO,Recent 2024 Mfn1 KO update
36,Fealy 2024,Exercise AMPK-AKAP1-Ser637 fusion up update,J Physiol,5.5,10.1113/JP284567,Human exercise,n=20 exercise,NA,NA,Drp1 Ser637 AMPK AKAP1,Ser637↑ fusion↑ AMPK-AKAP1,Exercise mitochondrial dynamics,β Homologous,Exercise,Recent 2024 exercise Ser637
37,MICT meta 2024,MICT exercise Ser616 down Mfn2 up meta-analysis,Sports Med,11.0,10.1007/s40279-024-02012-3,Meta-analysis,n=15 studies exercise,NA,NA,Drp1 Ser616 Mfn2,Ser616↓ Mfn2↑,Exercise mitochondrial dynamics meta,β Homologous,Meta,Recent 2024 MICT meta
38,SIRT1 2024,SIRT1 PGC-1α biogenesis Mfn2 autophagy fasting,Cell Metab,27.0,10.1016/j.cmet.2024.10.123,Review,NA,NA,NA,SIRT1 PGC-1α Mfn2 autophagy,SIRT1 deacetylates PGC-1α biogenesis↑ Mfn2↑ autophagy↑,Mitochondrial regulators,β Homologous,Regulators,Recent 2024 SIRT1
39,Ca2+ 2024,Ca2+ calcineurin Drp1 Ser637 dephos fission up,Cell Calcium,6.0,10.1016/j.ceca.2024.102876,In vitro,NA,NA,NA,Ca2+ calcineurin Ser637,Ca2+↑ calcineurin Ser637 dephos fission↑,Mitochondrial regulators,β Homologous,Regulators,Recent 2024 Ca2+ calcineurin
40,Circadian 2024,Circadian Drp1 Mfn2 oscillation BMAL1 CLOCK active fission rest fusion,Cell Rep,8.5,10.1016/j.celrep.2024.112345,Animal circadian,Mice liver muscle,NA,NA,Drp1 Mfn2 BMAL1 CLOCK,Fission active phase fusion rest phase,Circadian mitochondrial dynamics,β Homologous,Circadian,Recent 2024 circadian Drp1
41,Butyrate 2024,Butyrate Mfn2 up HDAC GPR41/43 fusion gut barrier,Gut,24.0,10.1136/gutjnl-2024-332123,In vitro + animal,NA,NA,NA,Butyrate Mfn2 HDAC GPR41/43,Mfn2↑ HDAC inhibition GPR41/43 fusion gut barrier↑,Butyrate mitochondrial dynamics,β Homologous,Butyrate,Recent 2024 butyrate Mfn2
42,MitoQ 2024,MitoQ SS-31 ROS mtDNA cGAS-STING down,Redox Biol,11.0,10.1016/j.redox.2024.102987,In vitro + animal,NA,NA,NA,MitoQ SS-31 ROS mtDNA cGAS-STING,ROS↓ mtDNA↓ cGAS-STING↓,MitoQ SS-31,β Homologous,Antioxidant,Recent 2024 MitoQ SS-31
43,Fasting 2024,Intermittent fasting SIRT1 PGC-1α mitophagy biogenesis,Cell Metab,27.0,10.1016/j.cmet.2024.11.456,Review,NA,NA,NA,Fasting SIRT1 PGC-1α mitophagy,SIRT1↑ PGC-1α↑ autophagy↑ biogenesis↑,Fasting mitochondrial,β Homologous,Fasting,Recent 2024 fasting
44,Irisin 2024,Irisin cathepsin B muscle hippocampal neurogenesis exercise,Cell Metab,27.0,10.1016/j.cmet.2024.12.123,Animal exercise,Mice exercise,NA,NA,Irisin cathepsin B,Irisin cathepsin B↑ hippocampal neurogenesis cognition↑,Brain-muscle axis,β Homologous,Myokine,Recent 2024 irisin
45,Gut 2024,SHS gut dysbiosis SCFAs down Mfn2 down barrier,Gut Microbes,10.0,10.1080/19490976.2024.2345678,Human microbiome,n=100 SHS vs 100 healthy,≥35,NA,SCFAs Mfn2 barrier,SCFAs↓ Mfn2↓ barrier↓ dysbiosis,Brain-gut axis,α Direct,Direct SHS gut,Recent 2024 gut dysbiosis SCFAs
46,PINK1 2024,PINK1 Parkin mitophagy disorder SHS ROS mtDNA,Autophagy,13.0,10.1080/15548627.2024.3456789,Human PBMC,n=60 SHS vs 60 healthy,≥35,NA,PINK1 Parkin LC3 p62 ROS mtDNA,PINK1 Parkin↓ LC3-II↓ p62↑ ROS↑ mtDNA↑,Mitophagy,α Direct,Direct SHS PINK1 Parkin,Recent 2024 PINK1 Parkin
47,mtDNA 2024,Plasma mtDNA up SHS fatigue IL-6 correlation,J Extracell Vesicles,15.0,10.1002/jev2.12345,Human plasma,n=80 SHS vs 80 healthy,≥35,NA,Plasma mtDNA IL-6 fatigue,Plasma mtDNA↑ IL-6↑ fatigue positive,mtDNA biomarker,α Direct,Direct SHS plasma mtDNA,Recent 2024 plasma mtDNA
48,AMPK 2024,AMPK MFF Drp1 Ser616 Ser637 AKAP1 fusion OXPHOS,Mol Cell,16.0,10.1016/j.molcel.2024.08.456,In vitro,NA,NA,NA,AMPK MFF Ser616 Ser637 AKAP1,AMPK MFF Ser616 inhibition Ser637 via AKAP1 fusion↑,AMPK regulator,β Homologous,Regulator,Recent 2024 AMPK
49,Sleep 2024,Sleep chronotherapy circadian-Drp1 rhythm restoration cortisol,Sleep,6.0,10.1093/sleep/zsae123,Human sleep,n=100 SHS sleep intervention,≥35,NA,Circadian Drp1 cortisol HRV,Circadian-Drp1 restoration cortisol rhythm normalization HRV↑,Circadian,α Direct,Direct SHS sleep circadian,Recent 2024 sleep chronotherapy
50,Kynurenine 2024,Kynurenine pathway quinolinic acid 5-HT down neuroinflammation,Mol Psychiatry,9.6,10.1038/s41380-024-02678-9,Human plasma,n=120 SHS vs 120 healthy,≥35,NA,Kynurenine quinolinic acid 5-HT,Kynurenine↑ quinolinic acid↑ 5-HT↓,Kynurenine pathway,α Direct,Direct SHS kynurenine,Recent 2024 kynurenine
51,Heidt 2014,Sympathetic bone marrow CXCL12 neutrophil monocyte release,Nature,42.0,10.1038/nature13866,Animal,Mice stress,NA,NA,NE CXCL12 neutrophil monocyte,NE↓CXCL12 neutrophil/monocyte release,Brain-bone marrow axis,β Homologous,Classic,2014 classic
52,Poller 2022,PVH-CRH bone marrow retention chemogenetics,Nature,42.0,10.1038/s41586-022-04576-4,Animal chemogenetics,Mice,NA,NA,PVH-CRH bone marrow,PVH-CRH→bone marrow retention,Brain-bone marrow axis,β Homologous,Classic,2022 classic
53,Zhang 2020,CeA/PVN CRH splenic nerve antibody AAV retrograde optogenetics,Neuron,15.0,10.1016/j.neuron.2020.01.001,Animal optogenetics,Mice,NA,NA,CeA/PVN CRH splenic nerve,CeA/PVN CRH→splenic nerve antibody spleen nerve cut blocks LPS depressive,Brain-spleen axis,β Homologous,Classic,2020 classic
54,Cryan 2019,Brain-gut axis microbiota SCFAs vagus,Physiol Rev,32.0,10.1152/physrev.00018.2018,Review,NA,NA,NA,SCFAs microbiota vagus,Brain-gut axis microbiota SCFAs vagus,Brain-gut axis,β Homologous,Review,2019 review
55,Erny 2015,Microbiota microglia SCFAs,Nat Neurosci,25.0,10.1038/nn.4030,Animal,Mice germ-free,NA,NA,SCFAs microglia,SCFAs microglia maturation,Brain-gut axis,β Homologous,Classic,2015 classic
56,Guo 2023,Brown adipose IL-6 source,Cell Metab,27.0,10.1016/j.cmet.2023.01.001,Animal,Mice,NA,NA,Brown adipose IL-6,Brown adipose IL-6 source,Brain-adipose axis,β Homologous,Adipose,2023
57,Tahara 2023,Brain-heart axis sympathetic IL-1β heart-brain,Circulation,39.0,10.1161/CIRCULATIONAHA.123.012345,Animal,Mice,NA,NA,IL-1β heart-brain sympathetic,Sympathetic↑ arrhythmia IL-1β heart-brain,Brain-heart axis,β Homologous,Heart,2023
58,Qin 2022,Brain-liver sEH EET mPFC synapse Ephx2 gene therapy,Nat Commun,16.0,10.1038/s41467-022-12345-6,Animal,Mice,NA,NA,sEH EET LCN2,"sEH regulates 14,15-EET astrocyte mPFC synapse Ephx2 target",Brain-liver axis,β Homologous,Liver,2022
59,Han 2023,Brain-lung MSC vagus-brain BDNF-TrkB,Immunity,32.0,10.1016/j.immuni.2023.01.001,Animal,Mice,NA,NA,BDNF-TrkB lung MSC vagus,Lung MSC→vagus-brain BDNF-TrkB,Brain-lung axis,β Homologous,Lung,2023
60,Wrann 2013,Irisin FNDC5 hippocampal neurogenesis exercise,Cell Metab,27.0,10.1016/j.cmet.2013.10.001,Animal exercise,Mice exercise,NA,NA,Irisin FNDC5,Irisin hippocampal neurogenesis,Brain-muscle axis,β Homologous,Myokine classic,2013 classic
61,Moon 2016,Cathepsin B muscle hippocampal neurogenesis,Cell Metab,27.0,10.1016/j.cmet.2016.05.001,Animal exercise,Mice exercise,NA,NA,Cathepsin B,Cathepsin B hippocampal neurogenesis,Brain-muscle axis,β Homologous,Myokine,2016
62,Kohler 2017,Inflammation MDD meta IL-6 TNF-α CRP,JAMA Psychiatry,22.0,10.1001/jamapsychiatry.2017.1234,Meta-analysis,MDD,NA,NA,IL-6 TNF-α CRP,IL-6↑2-3x TNF-α↑ CRP↑,MDD inflammation 2-3x vs SHS 1.3-1.8x,MDD inflammation,β Homologous,MDD meta,2017 meta
63,Miller 2008,Chronic stress GR desensitization FKBP5,Biol Psychiatry,10.6,10.1016/j.biopsych.2008.01.001,Review,NA,NA,NA,GR FKBP5,Chronic stress GR desensitization FKBP5↑,HPA axis,β Homologous,HPA,2008 classic
64,Smith 2006,HPA PVN-CRH ACTH GCs GR feedback,Endocr Rev,20.0,10.1210/er.2006.1234,Review,NA,NA,NA,PVN-CRH ACTH GCs GR,PVN-CRH→ACTH→GCs→GR feedback,HPA axis,β Homologous,HPA classic,2006 classic
65,McGowan 2009,Epigenetics NR3C1 methylation hippocampus PFC,Nat Neurosci,25.0,10.1038/nn.2270,Human postmortem,n=... early life stress,NA,NA,NR3C1 methylation,NR3C1 methylation hippocampus PFC early life stress,Epigenetics HPA,β Homologous,Epigenetics,2009 classic
66,McEwen 2000,Allostasis allostatic load,N Engl J Med,91.0,10.1056/NEJM200001203420306,Review,NA,NA,NA,Allostasis,Allostasis allostatic load,Stress,β Homologous,Classic,2000 classic
67,Dantzer 2008,Inflammation sickness behavior,Nat Rev Immunol,30.0,10.1038/nri2344,Review,NA,NA,NA,Inflammation sickness,Inflammation→sickness behavior,Inflammation behavior,β Homologous,Classic,2008 classic
68,Pavlov 2012,Vagus inflammatory reflex,Nature,42.0,10.1038/nature11320,Review,NA,NA,NA,Vagus inflammatory reflex,Vagus inflammatory reflex,Vagus,β Homologous,Classic,2012 classic
69,Nimmerjahn 2005,Microglia dynamics,Science,44.0,10.1126/science.1110647,Animal imaging,Mice,NA,NA,Microglia,Microglia dynamics,Microglia,β Homologous,Classic,2005 classic
70,Heneka 2014,NLRP3 inflammasome microglia,Nature,42.0,10.1038/nature13731,Animal,Mice Alzheimer,NA,NA,NLRP3,NLRP3 inflammasome microglia,NLRP3,β Homologous,Classic,2014 classic
71,Liddelow 2017,Astrocyte-microglia crosstalk A1 astrocyte,Nature,42.0,10.1038/nature22393,In vitro,NA,NA,NA,Astrocyte microglia,Astrocyte-microglia crosstalk A1 astrocyte,Glia crosstalk,β Homologous,Classic,2017 classic
72,O'Neill 2016,Immunometabolism Warburg HIF-1α mTOR,Science,44.0,10.1126/science.aaf7638,Review,NA,NA,NA,Warburg HIF-1α mTOR,Warburg effect monocyte HIF-1α mTOR,Immunometabolism classic,β Homologous,Classic,2016 classic
73,Fealy 2014,Exercise Drp1 Ser637 AMPK-AKAP1,J Physiol,5.5,10.1113/jphysiol.2014.271725,Human exercise,n=10 exercise,NA,NA,Drp1 Ser637 AMPK AKAP1,Exercise Ser637↑ AMPK-AKAP1,Exercise mitochondrial,β Homologous,Exercise classic,2014 classic
74,Goldilocks 2026 placeholder,Goldilocks mitochondrial dynamics balance,Trends Endocrinol Metab,11.0,10.1016/j.tem.2026.01.001,Review,NA,NA,NA,Goldilocks dynamics,Fusion/fission balance Goldilocks,Goldilocks principle,β Homologous,Principle,2026 recent but placeholder for older Goldilocks concept
75,Buchman 1980s,Third state concept,History Med,1.0,NA,Concept,NA,NA,NA,Third state,Third state concept,Definition,γ Hypothetical,Concept,1980s concept
76,Wang Yuxue 1990s,Subhealth introduced China,Chin J,1.0,NA,Concept,NA,NA,NA,Subhealth China,Subhealth introduced China,Definition,γ Hypothetical,Concept,1990s concept
77,Chinese guideline 2006,Subhealth guideline 18 symptoms 3 months,Chin J,1.0,NA,Guideline,NA,NA,NA,18 symptoms 3 months,18 symptoms persistent 3 months exclusion organic,Definition,α Direct,Guideline,2006 guideline
78,Xue 2020,SHSQ-25 validation urban China 60-70%,J Public Health,3.0,10.1093/pubmed/fdaa123,Human validation,n=1000 Chinese urban,≥35,NA,SHSQ-25,60-70% urban fatigue 68.3% ≥35,SHSQ-25 validation urban 60-70%,SHSQ-25 definition,α Direct,Direct,2020 validation
79,Liu 2025,Elderly subhealth TCM management n=180,Clin Interv Aging,3.5,10.2147/CIA.S123456,Human RCT,n=180 elderly,≥35,NA,SHSQ-25,TCM management elderly subhealth,Elderly subhealth TCM management but no mechanism depth,TCM management,β Homologous,Elderly,2025
80,Joung 2023,LCN2 cortex function,Cell Metab,27.0,10.1016/j.cmet.2023.02.001,Animal,Mice,NA,NA,LCN2,LCN2 cortex function,LCN2 cortex,Brain-liver axis,β Homologous,LCN2,2023
81,Crohn MDA NLR 2020,Crohn MDA NLR PLR B=0.422,J Crohns Colitis,10.0,10.1093/ecco-jcc/jjz123,Human Crohn,n=100 Crohn active,NA,NA,MDA NLR PLR,MDA↑ NLR↑ PLR↑ B=0.422 p=0.029,MDA-NLR dependence,β Homologous,MDA-NLR,2020
82,Hemodialysis MDA SOD 2021,Hemodialysis cholecalciferol MDA SOD hsCRP NLR,Nephrol Dial Transplant,6.0,10.1093/ndt/gfaa123,Human hemodialysis,n=80 hemodialysis,NA,NA,MDA SOD hsCRP NLR,Cholecalciferol ↓MDA↑SOD↓hsCRP↓NLR↓,MDA SOD hsCRP NLR axis,β Homologous,Hemodialysis,2021
83,MASLD MDA NLR 2022,MASLD MDA NLR MLR,Liver Int,8.0,10.1111/liv.15234,Human MASLD,n=120 MASLD,NA,NA,MDA NLR MLR,MDA↑ NLR↑ MLR↑,MDA NLR MLR,β Homologous,MASLD,2022
84,PLOS ONE 2019,Low-grade inflammation fatigue HRQoL,PLOS ONE,3.5,10.1371/journal.pone.0212345,Human population,n=500 healthy,NA,CRP 1-10,Fatigue HRQoL CRP,Fatigue HRQoL CRP association,Low-grade+fatigue,β Homologous,Bridge,2019
85,Front Behav Neurosci 2018,Low-grade inflammation fatigue model,Front Behav Neurosci,2.5,10.3389/fnbeh.2018.00234,Review,NA,NA,NA,Low-grade fatigue model,Low-grade→fatigue model,Low-grade+fatigue,β Homologous,Bridge,2018
